Sample rate: 9400 Hz
Time(s),Amplitude
9.341276595744680833e+00,1.090000000000000000e+02
9.341382978723403951e+00,1.110000000000000000e+02
9.341489361702127070e+00,1.120000000000000000e+02
9.341595744680850189e+00,1.130000000000000000e+02
9.341702127659575083e+00,1.160000000000000000e+02
9.341808510638298202e+00,1.200000000000000000e+02
9.341914893617021320e+00,1.190000000000000000e+02
9.342021276595744439e+00,1.150000000000000000e+02
9.342127659574467557e+00,1.180000000000000000e+02
9.342234042553190676e+00,1.190000000000000000e+02
9.342340425531915571e+00,1.200000000000000000e+02
9.342446808510638689e+00,1.180000000000000000e+02
9.342553191489361808e+00,1.090000000000000000e+02
9.342659574468084926e+00,1.010000000000000000e+02
9.342765957446808045e+00,9.400000000000000000e+01
9.342872340425531164e+00,9.400000000000000000e+01
9.342978723404256058e+00,9.400000000000000000e+01
9.343085106382979177e+00,9.100000000000000000e+01
9.343191489361702295e+00,9.100000000000000000e+01
9.343297872340425414e+00,9.300000000000000000e+01
9.343404255319148533e+00,9.900000000000000000e+01
9.343510638297871651e+00,1.050000000000000000e+02
9.343617021276596546e+00,1.070000000000000000e+02
9.343723404255319664e+00,1.090000000000000000e+02
9.343829787234042783e+00,1.060000000000000000e+02
9.343936170212765902e+00,1.060000000000000000e+02
9.344042553191489020e+00,1.050000000000000000e+02
9.344148936170212139e+00,1.010000000000000000e+02
9.344255319148937033e+00,9.800000000000000000e+01
9.344361702127660152e+00,9.500000000000000000e+01
9.344468085106383270e+00,9.500000000000000000e+01
9.344574468085106389e+00,9.500000000000000000e+01
9.344680851063829508e+00,9.500000000000000000e+01
9.344787234042552626e+00,1.050000000000000000e+02
9.344893617021275745e+00,1.110000000000000000e+02
9.345000000000000639e+00,1.100000000000000000e+02
9.345106382978723758e+00,1.140000000000000000e+02
9.345212765957446877e+00,1.130000000000000000e+02
9.345319148936169995e+00,1.130000000000000000e+02
9.345425531914893114e+00,1.150000000000000000e+02
9.345531914893616232e+00,1.140000000000000000e+02
9.345638297872341127e+00,1.070000000000000000e+02
9.345744680851064246e+00,1.020000000000000000e+02
9.345851063829787364e+00,9.900000000000000000e+01
9.345957446808510483e+00,1.030000000000000000e+02
9.346063829787233601e+00,1.060000000000000000e+02
9.346170212765956720e+00,1.140000000000000000e+02
9.346276595744681615e+00,1.210000000000000000e+02
9.346382978723404733e+00,1.240000000000000000e+02
9.346489361702127852e+00,1.270000000000000000e+02
9.346595744680850970e+00,1.340000000000000000e+02
9.346702127659574089e+00,1.380000000000000000e+02
9.346808510638297207e+00,1.440000000000000000e+02
9.346914893617022102e+00,1.460000000000000000e+02
9.347021276595745221e+00,1.420000000000000000e+02
9.347127659574468339e+00,1.410000000000000000e+02
9.347234042553191458e+00,1.410000000000000000e+02
9.347340425531914576e+00,1.400000000000000000e+02
9.347446808510637695e+00,1.370000000000000000e+02
9.347553191489362590e+00,1.390000000000000000e+02
9.347659574468085708e+00,1.370000000000000000e+02
9.347765957446808827e+00,1.330000000000000000e+02
9.347872340425531945e+00,1.320000000000000000e+02
9.347978723404255064e+00,1.330000000000000000e+02
9.348085106382978182e+00,1.300000000000000000e+02
9.348191489361701301e+00,1.270000000000000000e+02
9.348297872340426196e+00,1.230000000000000000e+02
9.348404255319149314e+00,1.220000000000000000e+02
9.348510638297872433e+00,1.230000000000000000e+02
9.348617021276595551e+00,1.200000000000000000e+02
9.348723404255318670e+00,1.160000000000000000e+02
9.348829787234041788e+00,1.110000000000000000e+02
9.348936170212766683e+00,1.130000000000000000e+02
9.349042553191489802e+00,1.140000000000000000e+02
9.349148936170212920e+00,1.180000000000000000e+02
9.349255319148936039e+00,1.240000000000000000e+02
9.349361702127659157e+00,1.250000000000000000e+02
9.349468085106382276e+00,1.270000000000000000e+02
9.349574468085107171e+00,1.290000000000000000e+02
9.349680851063830289e+00,1.250000000000000000e+02
9.349787234042553408e+00,1.190000000000000000e+02
9.349893617021276526e+00,1.160000000000000000e+02
9.349999999999999645e+00,1.100000000000000000e+02
9.350106382978722763e+00,1.010000000000000000e+02
9.350212765957447658e+00,9.700000000000000000e+01
9.350319148936170777e+00,9.800000000000000000e+01
9.350425531914893895e+00,9.700000000000000000e+01
9.350531914893617014e+00,9.900000000000000000e+01
9.350638297872340132e+00,1.040000000000000000e+02
9.350744680851063251e+00,1.070000000000000000e+02
9.350851063829786369e+00,1.020000000000000000e+02
9.350957446808511264e+00,1.060000000000000000e+02
9.351063829787234383e+00,1.080000000000000000e+02
9.351170212765957501e+00,1.110000000000000000e+02
9.351276595744680620e+00,1.130000000000000000e+02
9.351382978723403738e+00,1.120000000000000000e+02
9.351489361702126857e+00,1.050000000000000000e+02
9.351595744680851752e+00,1.040000000000000000e+02
9.351702127659574870e+00,1.000000000000000000e+02
9.351808510638297989e+00,9.700000000000000000e+01
9.351914893617021107e+00,9.300000000000000000e+01
9.352021276595744226e+00,9.200000000000000000e+01
9.352127659574467344e+00,8.900000000000000000e+01
9.352234042553192239e+00,8.900000000000000000e+01
9.352340425531915358e+00,9.100000000000000000e+01
9.352446808510638476e+00,9.500000000000000000e+01
9.352553191489361595e+00,1.000000000000000000e+02
9.352659574468084713e+00,1.020000000000000000e+02
9.352765957446807832e+00,1.060000000000000000e+02
9.352872340425532727e+00,1.080000000000000000e+02
9.352978723404255845e+00,1.090000000000000000e+02
9.353085106382978964e+00,1.080000000000000000e+02
9.353191489361702082e+00,1.080000000000000000e+02
9.353297872340425201e+00,1.090000000000000000e+02
9.353404255319148319e+00,1.090000000000000000e+02
9.353510638297873214e+00,1.060000000000000000e+02
9.353617021276596333e+00,1.120000000000000000e+02
9.353723404255319451e+00,1.180000000000000000e+02
9.353829787234042570e+00,1.130000000000000000e+02
9.353936170212765688e+00,1.140000000000000000e+02
9.354042553191488807e+00,1.140000000000000000e+02
9.354148936170211925e+00,1.120000000000000000e+02
9.354255319148936820e+00,1.120000000000000000e+02
9.354361702127659939e+00,1.120000000000000000e+02
9.354468085106383057e+00,1.120000000000000000e+02
9.354574468085106176e+00,1.110000000000000000e+02
9.354680851063829294e+00,1.100000000000000000e+02
9.354787234042552413e+00,1.130000000000000000e+02
9.354893617021277308e+00,1.150000000000000000e+02
9.355000000000000426e+00,1.160000000000000000e+02
9.355106382978723545e+00,1.210000000000000000e+02
9.355212765957446663e+00,1.250000000000000000e+02
9.355319148936169782e+00,1.270000000000000000e+02
9.355425531914892900e+00,1.340000000000000000e+02
9.355531914893617795e+00,1.380000000000000000e+02
9.355638297872340914e+00,1.430000000000000000e+02
9.355744680851064032e+00,1.500000000000000000e+02
9.355851063829787151e+00,1.510000000000000000e+02
9.355957446808510269e+00,1.510000000000000000e+02
9.356063829787233388e+00,1.520000000000000000e+02
9.356170212765958283e+00,1.560000000000000000e+02
9.356276595744681401e+00,1.570000000000000000e+02
9.356382978723404520e+00,1.560000000000000000e+02
9.356489361702127638e+00,1.530000000000000000e+02
9.356595744680850757e+00,1.500000000000000000e+02
9.356702127659573875e+00,1.530000000000000000e+02
